X Y TOL_COUNTS TOL_BG APER_RAD TOL_COUNTS_ERR MAG MAG_ERR
992 125 25559.86448598141 1494595.1355140186 12 159.8745273205879 14.281103632656015 -0.006786572058626369
794 1483 19016.02734375 1497033.97265625 12 137.89861255193978 14.602200516983977 -0.00786809946758045
1144 932 38170.69921875 1496385.30078125 12 195.37323055820622 13.8456747112051 -0.005553473200499458
1613 594 28809.78515625 1494422.21484375 12 169.73445482944823 14.151149950949698 -0.006392337967504739
1789 1423 12321.5 184398.5 12 111.00225222940298 15.07334104656768 -0.009774576445148906
2267 1196 44159.9296875 1500238.0703125 12 210.14264128800704 13.687429066931013 -0.005163159620293217
1123 1451 19587.26351351349 1023151.7364864865 12 139.95450515618813 14.5700655848465 -0.007752519283242425
3965 1918 52318.3046875 1499418.6953125 12 228.73194942442998 13.503365843131139 -0.004743543710138621
1179 743 48429.31640625 1499488.68359375 12 220.0666181097215 13.587229152754743 -0.004930325232057855
4279 920 16529.94140625 1493753.05859375 12 128.56881972799627 14.754321714678067 -0.008439060125895657
2616 124 21910.173913043458 1185321.8260869565 12 148.02085634478493 14.448385437981472 -0.007330048121547883
1770 1409 29588.291666666628 808745.7083333334 12 172.0124753227702 14.122200272224944 -0.006307682032736684
2221 363 38027.546875 1496786.453125 12 195.00653033937095 13.849754224139563 -0.005563916234557728
2984 473 28708.46875 1496465.53125 12 169.43573634272082 14.154974928124837 -0.006403607783220833
484 2470 12974.599999999977 450966.4 12 113.90610168028742 15.017265055851086 -0.009525389632290172
3254 2230 22344.530726257013 964871.469273743 12 149.48087077033307 14.427071904605405 -0.007258453836993142
4489 2294 15801.52734375 1492445.47265625 12 125.7041262001769 14.803252332470887 -0.008631379357207395
2360 1170 22854.5703125 1494741.4296875 12 151.1772810725871 14.402567348610486 -0.007177004324340522
564 1575 49961.3515625 1498387.6484375 12 223.52036050995443 13.553414553837422 -0.00485414392462775
2226 723 56726.12820512825 1396437.8717948718 12 238.17247575051204 13.415542144584245 -0.004555522197017207
4318 477 42237.265625 1498165.734375 12 205.51706893832443 13.735760512786722 -0.0052793668458049475
2181 2129 46829.3671875 1495130.6328125 12 216.4009408193504 13.623704277167358 -0.0050138414181191025
3281 889 21296.03515625 1501304.96484375 12 145.9316112302266 14.479253112300196 -0.007434989519085536
203 2245 30036.6875 1491071.3125 12 173.31095608760572 14.105869909512059 -0.006260423602138292
1781 1402 22430.82352941169 533341.1764705883 12 149.76923425527585 14.422886953390597 -0.007244478516533374
2757 1951 21867.0 1512894.0 12 147.87494716820697 14.450526987629376 -0.007337280727923563
1777 1559 46684.671875 1495639.328125 12 216.06635988741976 13.627064223254397 -0.0050216054019947085
3171 2278 17068.55859375 1494671.44140625 12 130.64669377274726 14.719507881632005 -0.008304840854888357
3307 2253 18976.363636363647 716339.6363636364 12 137.75472273705773 14.604467515067482 -0.00787631798345685
1349 1467 18827.6484375 1492877.3515625 12 137.21387844347234 14.61300979932013 -0.00790736339726003
3506 2289 20562.30859375 1495654.69140625 12 143.3956365924361 14.517320318398928 -0.0075664784911400286
715 214 33327.03515625 1497808.96484375 12 182.556936751935 13.99300830094867 -0.005943351259636534
3308 2265 10509.5 447865.5 12 102.51585243268477 15.246044863689235 -0.010583728996571003
2116 1801 50605.4921875 1496605.5078125 12 224.95664512856695 13.53950586712548 -0.00482315158718651
2796 1119 39735.61328125 1503155.38671875 12 199.3379373858624 13.802050199186782 -0.0054430180939403616
1673 1161 33198.59765625 1494613.40234375 12 182.2048233616498 13.997200652412744 -0.005954836869748692
2313 2416 35534.21875 1497885.78125 12 188.50522207620668 13.923383071124716 -0.005755808714738782
1674 1626 17249.94921875 1492343.05078125 12 131.33906204457986 14.708030447715773 -0.008261060975383872
508 697 29103.16015625 1498846.83984375 12 170.5964834228713 14.140149626856044 -0.006360037312788698
995 2061 25021.1171875 1489558.8828125 12 158.18064732292632 14.304233257636216 -0.006859246174312137
1991 951 18383.015625 1493904.984375 12 135.5839799718241 14.638958109160765 -0.00800242034660345
1562 122 20611.565217391355 1366130.4347826086 12 143.56728463473618 14.514722567923984 -0.007557432062328521
4468 1501 22189.40234375 1498399.59765625 12 148.96107660644105 14.434635987582094 -0.007283781943027959
1522 511 33286.71484375 1505801.28515625 12 182.44647117373907 13.99432266107446 -0.005946949771184024
760 280 58520.16796875 1509672.83203125 12 241.90942100040255 13.381736090005036 -0.004485149836302549
1637 818 35426.140625 1496253.859375 12 188.21833232977067 13.926690394397191 -0.005764581943585654
4506 1365 19687.295454545412 1310634.7045454546 12 140.3114231078333 14.564534852600566 -0.007732798769820379
437 883 32113.4609375 1497001.5390625 12 179.202290547582 14.033282217626784 -0.006054610109528201
144 1880 18588.23828125 1488242.76171875 12 136.3386895978174 14.62690442242171 -0.007958122549076997
2814 813 15362.6640625 1499671.3359375 12 123.94621439358284 14.833833665299041 -0.008753797002259834
2573 2058 22938.53515625 1495842.46484375 12 151.454729725585 14.398585798461541 -0.007163856830129173
1117 959 30603.69921875 1497259.30078125 12 174.93913003885095 14.085565187620336 -0.006202157286131698
1751 2443 15915.8671875 1498408.1328125 12 126.15810393113873 14.795424233875782 -0.008600319489521092
